city,trips_in_first_30_days,signup_date,avg_rating_of_driver,avg_surge,last_trip_date,phone,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,retained,retained_numeric
King's Landing,4,25/1/14,4.7,1.1,17/6/14,iPhone,15.4,TRUE,46.2,3.67,5,TRUE,1
Astapor,0,29/1/14,5,1,5/5/14,Android,0,FALSE,50,8.26,5,FALSE,0
Astapor,3,6/1/14,4.3,1,7/1/14,iPhone,0,FALSE,100,0.77,5,FALSE,0
King's Landing,9,10/1/14,4.6,1.14,29/6/14,iPhone,20,TRUE,80,2.36,4.9,TRUE,1
Winterfell,14,27/1/14,4.4,1.19,15/3/14,Android,11.8,FALSE,82.4,3.13,4.9,FALSE,0
Winterfell,2,9/1/14,3.5,1,6/6/14,iPhone,0,TRUE,100,10.56,5,TRUE,1
Astapor,1,24/1/14,4.601559291,1,25/1/14,Android,0,FALSE,100,3.95,4,FALSE,0
Winterfell,2,28/1/14,5,1,29/1/14,iPhone,0,FALSE,100,2.04,5,FALSE,0
Winterfell,2,21/1/14,4.5,1,1/2/14,Android,0,FALSE,100,4.36,5,FALSE,0
Winterfell,1,3/1/14,4.601559291,1,5/1/14,Android,0,FALSE,0,2.37,5,FALSE,0
Winterfell,1,13/1/14,5,1,30/5/14,iPhone,0,TRUE,100,4.28,4.9,FALSE,0
Winterfell,3,6/1/14,4,1,10/1/14,iPhone,0,FALSE,100,3.81,5,FALSE,0
Winterfell,1,15/1/14,4.601559291,1,12/3/14,iPhone,0,FALSE,100,20.29,5,FALSE,0
King's Landing,0,29/1/14,4,1.38,8/6/14,iPhone,50,FALSE,50,3.04,5,TRUE,1
Astapor,1,27/1/14,4.601559291,1,28/1/14,Android,0,FALSE,100,26.01,5,FALSE,0
Winterfell,1,15/1/14,4.601559291,1,16/1/14,Android,0,TRUE,100,13.2,5,FALSE,0
King's Landing,1,11/1/14,5,1,28/6/14,Android,0,TRUE,50,10.86,3,TRUE,1
King's Landing,0,12/1/14,3.9,1,1/7/14,iPhone,0,TRUE,95.2,2.38,4.8,TRUE,1
